SAMPLE;SPECIES_NAME_PRINT;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_identifier;gbif_identifier;WCVP_continent;WCVP_geographic_area;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;GENUS_TYPE
Afroguatteria;Afroguatteria;Annonaceae;Annonoideae;Uvarieae;Uvarieae;Afroguatteria;Afroguatteria;(De Wild.) Boutique;2000ABS-2;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
Alphonsea;Alphonsea;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Alphonsea;Alphonsea;(Diels) X. Guo & R. M. K. Saunders;2000ABS-3;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Ambavia;Ambavia;Annonaceae;Ambavioideae;Tetramerantheae;Tetramerantheae;Ambavia;Ambavia;Paiva;2000ABS-4;100002;Madagascar - Indian Islands;Madagascar - Indian Islands;NA;subtropical;NA;NA;NA;NA;NA
Anaxagorea;Anaxagorea;Annonaceae;Anaxagoreoideae;abs;abs;Anaxagorea;Anaxagorea;Leerat. & Chalermglin;2000ABS-5;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Annickia;Annickia;Annonaceae;Malmeoideae;Annickieae;Annickieae;Annickia;Annickia;Finet & Gagnep.;2000ABS-6;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
Annona;Annona;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona;I. M. Turner;2000ABS-7;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Anonidium;Anonidium;Annonaceae;Annonoideae;Annoneae;Annoneae;Anonidium;Anonidium;King;2000ABS-8;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Artabotrys;Artabotrys;Annonaceae;Annonoideae;Duguetieae;Duguetieae;Artabotrys;Artabotrys;King;2000ABS-9;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Asimina;Asimina;Annonaceae;Annonoideae;Annoneae;Annoneae;Asimina;Asimina;Hook. f. & Thomson;2000ABS-10;100002;North America;North America;NA;subtropical;NA;NA;NA;NA;NA
Asteranthe;Asteranthe;Annonaceae;Annonoideae;Monodoreae;Monodoreae;Asteranthe;Asteranthe;(Baill.) Finet & Gagnep.;2000ABS-11;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
Bocagea;Bocagea;Annonaceae;Annonoideae;Bocageeae;Bocageeae;Bocagea;Bocagea;Y.H. Tan & B. Xue;2000ABS-12;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Bocageopsis;Bocageopsis;Annonaceae;Malmeoideae;Malmeeae;Malmeeae;Bocageopsis;Bocageopsis;Merr. & Chun;2000ABS-13;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Brieya;Brieya;Annonaceae;Malmeoideae;Piptostigmateae;Piptostigmateae;Brieya;Brieya;Keﬂler;2000ABS-14;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
Cananga;Cananga;Annonaceae;Ambavioideae;Canangeae;Canangeae;Cananga;Cananga;H. Huber;2000ABS-15;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Cardiopetalum;Cardiopetalum;Annonaceae;Annonoideae;Bocageeae;Bocageeae;Cardiopetalum;Cardiopetalum;I.M.Turner & Utteridge;2000ABS-16;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Cleistochlamys;Cleistochlamys;Annonaceae;Annonoideae;Uvarieae;Uvarieae;Cleistochlamys;Cleistochlamys;Scheff.;2000ABS-17;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
Cleistopholis;Cleistopholis;Annonaceae;Ambavioideae;Tetramerantheae;Tetramerantheae;Cleistopholis;Cleistopholis;J. Sinclair;2000ABS-18;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
Cremastosperma;Cremastosperma;Annonaceae;Malmeoideae;Malmeeae;Malmeeae;Cremastosperma;Cremastosperma;Ridl.;2000ABS-19;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Cyathocalyx;Cyathocalyx;Annonaceae;Ambavioideae;Canangeae;Canangeae;Cyathocalyx;Cyathocalyx;J. Sinclair;2000ABS-20;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
