SAMPLE;SPECIES_NAME_PRINT;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_identifier;gbif_identifier;WCVP_continent;WCVP_geographic_area;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;GENUS_TYPE
8000070;Afroguatteria bequaertii;Annonaceae;Annonoideae;Uvarieae;Uvarieae;Afroguatteria;Afroguatteria bequaertii;(De Wild.) Boutique;2000ABS-2;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
8008999;Afroguatteria discostigma;Annonaceae;Annonoideae;Uvarieae;Uvarieae;Afroguatteria;Afroguatteria discostigma;(Diels) X. Guo & R. M. K. Saunders;2000ABS-3;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
8009952;Afroguatteria globosa;Annonaceae;Annonoideae;Uvarieae;Uvarieae;Afroguatteria;Afroguatteria globosa;Paiva;2000ABS-4;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
CRNC;Alphonsea annulata;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Alphonsea;Alphonsea annulata;Leerat. & Chalermglin;2000ABS-5;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
ERR2789774;Alphonsea boniana;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Alphonsea;Alphonsea boniana;Finet & Gagnep.;2000ABS-6;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
ERR4210213;Alphonsea borneensis;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Alphonsea;Alphonsea borneensis;I. M. Turner;2000ABS-7;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
HYZL;Alphonsea curtisii;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Alphonsea;Alphonsea curtisii;King;2000ABS-8;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
MYZV;Alphonsea cylindrica;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Alphonsea;Alphonsea cylindrica;King;2000ABS-9;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
PAFTOL_005410;Alphonsea elliptica;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Alphonsea;Alphonsea elliptica;Hook. f. & Thomson;2000ABS-10;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
PAFTOL_005411;Alphonsea gaudichaudiana;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Alphonsea;Alphonsea gaudichaudiana;(Baill.) Finet & Gagnep.;2000ABS-11;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
PAFTOL_008053;Alphonsea glandulosa;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Alphonsea;Alphonsea glandulosa;Y.H. Tan & B. Xue;2000ABS-12;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
PAFTOL_014331;Alphonsea hainanensis;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Alphonsea;Alphonsea hainanensis;Merr. & Chun;2000ABS-13;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
PAFTOL_019361;Alphonsea havilandii;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Alphonsea;Alphonsea havilandii;Keßler;2000ABS-14;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
PAFTOL_019459;Alphonsea hortensis;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Alphonsea;Alphonsea hortensis;H. Huber;2000ABS-15;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
PAFTOL_023477;Alphonsea isthmicola;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Alphonsea;Alphonsea isthmicola;I.M.Turner & Utteridge;2000ABS-16;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
PAFTOL_023503;Alphonsea javanica;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Alphonsea;Alphonsea javanica;Scheff.;2000ABS-17;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
PAFTOL_023511;Alphonsea johorensis;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Alphonsea;Alphonsea johorensis;J. Sinclair;2000ABS-18;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
PAFTOL_023513;Alphonsea keithii;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Alphonsea;Alphonsea keithii;Ridl.;2000ABS-19;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
PAFTOL_023515;Alphonsea kinabaluensis;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Alphonsea;Alphonsea kinabaluensis;J. Sinclair;2000ABS-20;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
PAFTOL_023519;Alphonsea kingii;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Alphonsea;Alphonsea kingii;J. Sinclair;2000ABS-21;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
